"coord_ref_sys_code","coord_ref_sys_name","cmpd_horizcrs_code","cmpd_vertcrs_code"
3901,"KKJ / Finland Uniform Coordinate System + N60 height",2393,5717
3902,"ETRS89 / TM35FIN(N,E) + N60 height",5048,5717
3903,"ETRS89 / TM35FIN(N,E) + N2000 height",5048,3900
4097,"ETRS89 / DKTM1 + DVR90 height",4093,5799
4098,"ETRS89 / DKTM2 + DVR90 height",4094,5799
4099,"ETRS89 / DKTM3 + DVR90 height",4095,5799
4100,"ETRS89 / DKTM4 + DVR90 height",4096,5799
5318,"ETRS89 / Faroe TM + FVR09 height",5316,5317
5498,"NAD83 + NAVD88 height",4269,5703
5499,"NAD83(HARN) + NAVD88 height",4152,5703
5500,"NAD83(NSRS2007) + NAVD88 height",4759,5703
5554,"ETRS89 / UTM zone 31N + DHHN92 height",25831,5783
5555,"ETRS89 / UTM zone 32N + DHHN92 height",25832,5783
5556,"ETRS89 / UTM zone 33N + DHHN92 height",25833,5783
5598,"FEH2010 / Fehmarnbelt TM + FCSVR10 height",5596,5597
5628,"SWEREF99 + RH2000 height",4619,5613
5698,"RGF93 v1 / Lambert-93 + NGF-IGN69 height",2154,5720
5699,"RGF93 v1 / Lambert-93 + NGF-IGN78 height",2154,5721
5707,"NTF (Paris) / Lambert zone I + NGF-IGN69 height",27571,5720
5708,"NTF (Paris) / Lambert zone IV + NGF-IGN78 height",27574,5721
5845,"SWEREF99 TM + RH2000 height",3006,5613
5846,"SWEREF99 12 00 + RH2000 height",3007,5613
5847,"SWEREF99 13 30 + RH2000 height",3008,5613
5848,"SWEREF99 15 00 + RH2000 height",3009,5613
5849,"SWEREF99 16 30 + RH2000 height",3010,5613
5850,"SWEREF99 18 00 + RH2000 height",3011,5613
5851,"SWEREF99 14 15 + RH2000 height",3012,5613
5852,"SWEREF99 15 45 + RH2000 height",3013,5613
5853,"SWEREF99 17 15 + RH2000 height",3014,5613
5854,"SWEREF99 18 45 + RH2000 height",3015,5613
5855,"SWEREF99 20 15 + RH2000 height",3016,5613
5856,"SWEREF99 21 45 + RH2000 height",3017,5613
5857,"SWEREF99 23 15 + RH2000 height",3018,5613
5942,"ETRS89 + NN2000 height",4258,5941
5945,"ETRS89 / NTM zone 5 + NN2000 height",5105,5941
5946,"ETRS89 / NTM zone 6 + NN2000 height",5106,5941
5947,"ETRS89 / NTM zone 7 + NN2000 height",5107,5941
5948,"ETRS89 / NTM zone 8 + NN2000 height",5108,5941
5949,"ETRS89 / NTM zone 9 + NN2000 height",5109,5941
5950,"ETRS89 / NTM zone 10 + NN2000 height",5110,5941
5951,"ETRS89 / NTM zone 11 + NN2000 height",5111,5941
5952,"ETRS89 / NTM zone 12 + NN2000 height",5112,5941
5953,"ETRS89 / NTM zone 13 + NN2000 height",5113,5941
5954,"ETRS89 / NTM zone 14 + NN2000 height",5114,5941
5955,"ETRS89 / NTM zone 15 + NN2000 height",5115,5941
5956,"ETRS89 / NTM zone 16 + NN2000 height",5116,5941
5957,"ETRS89 / NTM zone 17 + NN2000 height",5117,5941
5958,"ETRS89 / NTM zone 18 + NN2000 height",5118,5941
5959,"ETRS89 / NTM zone 19 + NN2000 height",5119,5941
5960,"ETRS89 / NTM zone 20 + NN2000 height",5120,5941
5961,"ETRS89 / NTM zone 21 + NN2000 height",5121,5941
5962,"ETRS89 / NTM zone 22 + NN2000 height",5122,5941
5963,"ETRS89 / NTM zone 23 + NN2000 height",5123,5941
5964,"ETRS89 / NTM zone 24 + NN2000 height",5124,5941
5965,"ETRS89 / NTM zone 25 + NN2000 height",5125,5941
5966,"ETRS89 / NTM zone 26 + NN2000 height",5126,5941
5967,"ETRS89 / NTM zone 27 + NN2000 height",5127,5941
5968,"ETRS89 / NTM zone 28 + NN2000 height",5128,5941
5969,"ETRS89 / NTM zone 29 + NN2000 height",5129,5941
5970,"ETRS89 / NTM zone 30 + NN2000 height",5130,5941
5971,"ETRS89 / UTM zone 31N + NN2000 height",25831,5941
5972,"ETRS89 / UTM zone 32N + NN2000 height",25832,5941
5973,"ETRS89 / UTM zone 33N + NN2000 height",25833,5941
5974,"ETRS89 / UTM zone 34N + NN2000 height",25834,5941
5975,"ETRS89 / UTM zone 35N + NN2000 height",25835,5941
5976,"ETRS89 / UTM zone 36N + NN2000 height",25836,5941
6144,"ETRS89 + NN54 height",4258,5776
6145,"ETRS89 / NTM zone 5 + NN54 height",5105,5776
6146,"ETRS89 / NTM zone 6 + NN54 height",5106,5776
