"ellipsoid_code","ellipsoid_name","semi_major_axis","semi_minor_axis","inv_flattening","uom_code"
1024,"CGCS2000","6378137",NULL,"298.257222101",9001
1025,"GSK-2011","6378136.5",NULL,"298.2564151",9001
1026,"Zach 1812","6376045",NULL,"310",9001
7001,"Airy 1830","6377563.396",NULL,"299.3249646",9001
7002,"Airy Modified 1849","6377340.189",NULL,"299.3249646",9001
7003,"Australian National Spheroid","6378160",NULL,"298.25",9001
7004,"Bessel 1841","6377397.155",NULL,"299.1528128",9001
7005,"Bessel Modified","6377492.018",NULL,"299.1528128",9001
7007,"Clarke 1858","20926348","20855233",NULL,9005
7008,"Clarke 1866","6378206.4","6356583.8",NULL,9001
7010,"Clarke 1880 (Benoit)","6378300.789","6356566.435",NULL,9001
7011,"Clarke 1880 (IGN)","6378249.2","6356515",NULL,9001
7012,"Clarke 1880 (RGS)","6378249.145",NULL,"293.465",9001
7013,"Clarke 1880 (Arc)","6378249.145",NULL,"293.4663077",9001
7014,"Clarke 1880 (SGA 1922)","6378249.2",NULL,"293.46598",9001
7015,"Everest 1830 (1937 Adjustment)","6377276.345",NULL,"300.8017",9001
7016,"Everest 1830 (1967 Definition)","6377298.556",NULL,"300.8017",9001
7018,"Everest 1830 Modified","6377304.063",NULL,"300.8017",9001
7019,"GRS 1980","6378137",NULL,"298.257222101",9001
7020,"Helmert 1906","6378200",NULL,"298.3",9001
7021,"Indonesian National Spheroid","6378160",NULL,"298.247",9001
7022,"International 1924","6378388",NULL,"297",9001
7024,"Krassowsky 1940","6378245",NULL,"298.3",9001
7025,"NWL 9D","6378145",NULL,"298.25",9001
7027,"Plessis 1817","6376523",NULL,"308.64",9001
7028,"Struve 1860","6378298.3",NULL,"294.73",9001
7029,"War Office","6378300",NULL,"296",9001
7030,"WGS 84","6378137",NULL,"298.257223563",9001
7031,"GEM 10C","6378137",NULL,"298.257223563",9001
7032,"OSU86F","6378136.2",NULL,"298.257223563",9001
7033,"OSU91A","6378136.3",NULL,"298.257223563",9001
7034,"Clarke 1880","20926202","20854895",NULL,9005
7036,"GRS 1967","6378160",NULL,"298.247167427",9001
7041,"Average Terrestrial System 1977","6378135",NULL,"298.257",9001
7042,"Everest (1830 Definition)","20922931.8","20853374.58",NULL,9080
7043,"WGS 72","6378135",NULL,"298.26",9001
7044,"Everest 1830 (1962 Definition)","6377301.243",NULL,"300.8017255",9001
7045,"Everest 1830 (1975 Definition)","6377299.151",NULL,"300.8017255",9001
7046,"Bessel Namibia (GLM)","6377397.155",NULL,"299.1528128",9031
7048,"GRS 1980 Authalic Sphere","6371007","6371007",NULL,9001
7049,"IAG 1975","6378140",NULL,"298.257",9001
7050,"GRS 1967 Modified","6378160",NULL,"298.25",9001
7051,"Danish 1876","6377019.27",NULL,"300",9001
7052,"Clarke 1866 Authalic Sphere","6370997","6370997",NULL,9001
7053,"Hough 1960","6378270",NULL,"297",9001
7054,"PZ-90","6378136",NULL,"298.257839303",9001
7055,"Clarke 1880 (international foot)","20926202","20854895",NULL,9002
7056,"Everest 1830 (RSO 1969)","6377295.664",NULL,"300.8017",9001
7057,"International 1924 Authalic Sphere","6371228","6371228",NULL,9001
7058,"Hughes 1980","6378273","6356889.449",NULL,9001
