"coord_ref_sys_code","coord_ref_sys_name","coord_ref_sys_kind","coord_sys_code","datum_code","base_crs_code","projection_conv_code"
3819,"HD1909","geographic 2D",6422,1024,NULL,NULL
3821,"TWD67","geographic 2D",6422,1025,NULL,NULL
3822,"TWD97","geocentric",6500,1026,NULL,NULL
3823,"TWD97","geographic 3D",6423,1026,3822,15592
3824,"TWD97","geographic 2D",6422,1026,3823,15593
3887,"IGRS","geocentric",6500,1029,NULL,NULL
3888,"IGRS","geographic 3D",6423,1029,3887,15592
3889,"IGRS","geographic 2D",6422,1029,3888,15593
3906,"MGI 1901","geographic 2D",6422,1031,NULL,NULL
4000,"MOLDREF99","geocentric",6500,1032,NULL,NULL
4017,"MOLDREF99","geographic 3D",6423,1032,4000,15592
4023,"MOLDREF99","geographic 2D",6422,1032,4017,15593
4039,"RGRDC 2005","geocentric",6500,1033,NULL,NULL
4040,"RGRDC 2005","geographic 3D",6423,1033,4039,15592
4046,"RGRDC 2005","geographic 2D",6422,1033,4040,15593
4073,"SREF98","geocentric",6500,1034,NULL,NULL
4074,"SREF98","geographic 3D",6423,1034,4073,15592
4075,"SREF98","geographic 2D",6422,1034,4074,15593
4079,"REGCAN95","geocentric",6500,1035,NULL,NULL
4080,"REGCAN95","geographic 3D",6423,1035,4079,15592
4081,"REGCAN95","geographic 2D",6422,1035,4080,15593
4120,"Greek","geographic 2D",6422,6120,NULL,NULL
4121,"GGRS87","geographic 2D",6422,6121,NULL,NULL
4122,"ATS77","geographic 2D",6422,6122,NULL,NULL
4123,"KKJ","geographic 2D",6422,6123,NULL,NULL
4124,"RT90","geographic 2D",6422,6124,NULL,NULL
4127,"Tete","geographic 2D",6422,6127,NULL,NULL
4128,"Madzansua","geographic 2D",6422,6128,NULL,NULL
4129,"Observatario","geographic 2D",6422,6129,NULL,NULL
4130,"Moznet","geographic 2D",6422,6130,4953,15593
4131,"Indian 1960","geographic 2D",6422,6131,NULL,NULL
4132,"FD58","geographic 2D",6422,6132,NULL,NULL
4133,"EST92","geographic 2D",6422,6133,NULL,NULL
