"coord_op_code","coord_op_name","coord_op_method_code","coord_op_method_name"
16070,"3-degree Gauss-Kruger zone 40",9807,"Transverse Mercator"
16071,"3-degree Gauss-Kruger zone 41",9807,"Transverse Mercator"
16170,"3-degree Gauss-Kruger CM 120E",9807,"Transverse Mercator"
16172,"3-degree Gauss-Kruger CM 126E",9807,"Transverse Mercator"
16174,"3-degree Gauss-Kruger CM 132E",9807,"Transverse Mercator"
16176,"3-degree Gauss-Kruger CM 138E",9807,"Transverse Mercator"
16178,"3-degree Gauss-Kruger CM 144E",9807,"Transverse Mercator"
16180,"3-degree Gauss-Kruger CM 150E",9807,"Transverse Mercator"
16182,"3-degree Gauss-Kruger CM 156E",9807,"Transverse Mercator"
16184,"3-degree Gauss-Kruger CM 162E",9807,"Transverse Mercator"
16186,"3-degree Gauss-Kruger CM 168E",9807,"Transverse Mercator"
16188,"3-degree Gauss-Kruger CM 174E",9807,"Transverse Mercator"
16190,"3-degree Gauss-Kruger CM 180E",9807,"Transverse Mercator"
16192,"3-degree Gauss-Kruger CM 174W",9807,"Transverse Mercator"
16194,"3-degree Gauss-Kruger CM 168W",9807,"Transverse Mercator"
16261,"3-degree Gauss-Kruger zone 1",9807,"Transverse Mercator"
16262,"3-degree Gauss-Kruger zone 2",9807,"Transverse Mercator"
16263,"3-degree Gauss-Kruger zone 3",9807,"Transverse Mercator"
16264,"3-degree Gauss-Kruger zone 4",9807,"Transverse Mercator"
16270,"3-degree Gauss-Kruger zone 10",9807,"Transverse Mercator"
18189,"Finland ETRS-GK25",9807,"Transverse Mercator"
16271,"3-degree Gauss-Kruger zone 11",9807,"Transverse Mercator"
16272,"3-degree Gauss-Kruger zone 12",9807,"Transverse Mercator"
16273,"3-degree Gauss-Kruger zone 13",9807,"Transverse Mercator"
16274,"3-degree Gauss-Kruger zone 14",9807,"Transverse Mercator"
16275,"3-degree Gauss-Kruger zone 15",9807,"Transverse Mercator"
16276,"3-degree Gauss-Kruger zone 16",9807,"Transverse Mercator"
16277,"3-degree Gauss-Kruger zone 17",9807,"Transverse Mercator"
16278,"3-degree Gauss-Kruger zone 18",9807,"Transverse Mercator"
16279,"3-degree Gauss-Kruger zone 19",9807,"Transverse Mercator"
16280,"3-degree Gauss-Kruger zone 20",9807,"Transverse Mercator"
16281,"3-degree Gauss-Kruger zone 21",9807,"Transverse Mercator"
16282,"3-degree Gauss-Kruger zone 22",9807,"Transverse Mercator"
16283,"3-degree Gauss-Kruger zone 23",9807,"Transverse Mercator"
16284,"3-degree Gauss-Kruger zone 24",9807,"Transverse Mercator"
16285,"3-degree Gauss-Kruger zone 25",9807,"Transverse Mercator"
16286,"3-degree Gauss-Kruger zone 26",9807,"Transverse Mercator"
16287,"3-degree Gauss-Kruger zone 27",9807,"Transverse Mercator"
16288,"3-degree Gauss-Kruger zone 28",9807,"Transverse Mercator"
16289,"3-degree Gauss-Kruger zone 29",9807,"Transverse Mercator"
16290,"3-degree Gauss-Kruger zone 30",9807,"Transverse Mercator"
16291,"3-degree Gauss-Kruger zone 31",9807,"Transverse Mercator"
16292,"3-degree Gauss-Kruger zone 32",9807,"Transverse Mercator"
16293,"3-degree Gauss-Kruger zone 33",9807,"Transverse Mercator"
16294,"3-degree Gauss-Kruger zone 34",9807,"Transverse Mercator"
16295,"3-degree Gauss-Kruger zone 35",9807,"Transverse Mercator"
16296,"3-degree Gauss-Kruger zone 36",9807,"Transverse Mercator"
16297,"3-degree Gauss-Kruger zone 37",9807,"Transverse Mercator"
16298,"3-degree Gauss-Kruger zone 38",9807,"Transverse Mercator"
16299,"3-degree Gauss-Kruger zone 39",9807,"Transverse Mercator"
16362,"3-degree Gauss-Kruger CM 6E",9807,"Transverse Mercator"
16364,"3-degree Gauss-Kruger CM 12E",9807,"Transverse Mercator"
16366,"3-degree Gauss-Kruger CM 18E",9807,"Transverse Mercator"
16368,"3-degree Gauss-Kruger CM 24E",9807,"Transverse Mercator"
16370,"3-degree Gauss-Kruger CM 30E",9807,"Transverse Mercator"
16372,"3-degree Gauss-Kruger CM 36E",9807,"Transverse Mercator"
16374,"3-degree Gauss-Kruger CM 42E",9807,"Transverse Mercator"
16376,"3-degree Gauss-Kruger CM 48E",9807,"Transverse Mercator"
16378,"3-degree Gauss-Kruger CM 54E",9807,"Transverse Mercator"
16380,"3-degree Gauss-Kruger CM 60E",9807,"Transverse Mercator"
16382,"3-degree Gauss-Kruger CM 66E",9807,"Transverse Mercator"
16384,"3-degree Gauss-Kruger CM 72E",9807,"Transverse Mercator"
16386,"3-degree Gauss-Kruger CM 78E",9807,"Transverse Mercator"
16388,"3-degree Gauss-Kruger CM 84E",9807,"Transverse Mercator"
16390,"3-degree Gauss-Kruger CM 90E",9807,"Transverse Mercator"
16392,"3-degree Gauss-Kruger CM 96E",9807,"Transverse Mercator"
16394,"3-degree Gauss-Kruger CM 102E",9807,"Transverse Mercator"
16396,"3-degree Gauss-Kruger CM 108E",9807,"Transverse Mercator"
16398,"3-degree Gauss-Kruger CM 114E",9807,"Transverse Mercator"
5824,"ACT Standard Grid",9807,"Transverse Mercator"
9385,"AbInvA96_2020-TM",9807,"Transverse Mercator"
10101,"Alabama CS27 East zone",9807,"Transverse Mercator"
10102,"Alabama CS27 West zone",9807,"Transverse Mercator"
15001,"Alaska CS27 zone 1",9812,"Hotine Oblique Mercator (variant A)"
15002,"Alaska CS27 zone 2",9807,"Transverse Mercator"
15010,"Alaska CS27 zone 10",9802,"Lambert Conic Conformal (2SP)"
15020,"Alaska Albers",9822,"Albers Equal Area"
15021,"Alaska Albers (meter)",9822,"Albers Equal Area"
16072,"3-degree Gauss-Kruger zone 42",9807,"Transverse Mercator"
16073,"3-degree Gauss-Kruger zone 43",9807,"Transverse Mercator"
16074,"3-degree Gauss-Kruger zone 44",9807,"Transverse Mercator"
16075,"3-degree Gauss-Kruger zone 45",9807,"Transverse Mercator"
16076,"3-degree Gauss-Kruger zone 46",9807,"Transverse Mercator"
16077,"3-degree Gauss-Kruger zone 47",9807,"Transverse Mercator"
16078,"3-degree Gauss-Kruger zone 48",9807,"Transverse Mercator"
16079,"3-degree Gauss-Kruger zone 49",9807,"Transverse Mercator"
16080,"3-degree Gauss-Kruger zone 50",9807,"Transverse Mercator"
16081,"3-degree Gauss-Kruger zone 51",9807,"Transverse Mercator"
16082,"3-degree Gauss-Kruger zone 52",9807,"Transverse Mercator"
16083,"3-degree Gauss-Kruger zone 53",9807,"Transverse Mercator"
16084,"3-degree Gauss-Kruger zone 54",9807,"Transverse Mercator"
16085,"3-degree Gauss-Kruger zone 55",9807,"Transverse Mercator"
16086,"3-degree Gauss-Kruger zone 56",9807,"Transverse Mercator"
16087,"3-degree Gauss-Kruger zone 57",9807,"Transverse Mercator"
16088,"3-degree Gauss-Kruger zone 58",9807,"Transverse Mercator"
16089,"3-degree Gauss-Kruger zone 59",9807,"Transverse Mercator"
16265,"3-degree Gauss-Kruger zone 5",9807,"Transverse Mercator"
16091,"3-degree Gauss-Kruger zone 61",9807,"Transverse Mercator"
16092,"3-degree Gauss-Kruger zone 62",9807,"Transverse Mercator"
16093,"3-degree Gauss-Kruger zone 63",9807,"Transverse Mercator"
16094,"3-degree Gauss-Kruger zone 64",9807,"Transverse Mercator"
16099,"3-degree Gauss-Kruger zone 60",9807,"Transverse Mercator"
16201,"6-degree Gauss-Kruger zone 1",9807,"Transverse Mercator"
16202,"6-degree Gauss-Kruger zone 2",9807,"Transverse Mercator"
16203,"6-degree Gauss-Kruger zone 3",9807,"Transverse Mercator"
16204,"6-degree Gauss-Kruger zone 4",9807,"Transverse Mercator"
16205,"6-degree Gauss-Kruger zone 5",9807,"Transverse Mercator"
16206,"6-degree Gauss-Kruger zone 6",9807,"Transverse Mercator"
16207,"6-degree Gauss-Kruger zone 7",9807,"Transverse Mercator"
16208,"6-degree Gauss-Kruger zone 8",9807,"Transverse Mercator"
16209,"6-degree Gauss-Kruger zone 9",9807,"Transverse Mercator"
16210,"6-degree Gauss-Kruger zone 10",9807,"Transverse Mercator"
16211,"6-degree Gauss-Kruger zone 11",9807,"Transverse Mercator"
16212,"6-degree Gauss-Kruger zone 12",9807,"Transverse Mercator"
16213,"6-degree Gauss-Kruger zone 13",9807,"Transverse Mercator"
16214,"6-degree Gauss-Kruger zone 14",9807,"Transverse Mercator"
