"coord_op_code","coord_op_method_code","parameter_code","parameter_name","parameter_value","sort_order","uom_code"
3811,9802,8821,"Latitude of false origin","50.4752134",1,9110
3811,9802,8822,"Longitude of false origin","4.2133177",2,9110
3811,9802,8823,"Latitude of 1st standard parallel","49.5",3,9110
3811,9802,8824,"Latitude of 2nd standard parallel","51.1",4,9110
3811,9802,8826,"Easting at false origin","649328",5,9001
3811,9802,8827,"Northing at false origin","665262",6,9001
3813,9807,8801,"Latitude of natural origin","32.3",1,9110
3813,9807,8802,"Longitude of natural origin","-89.45",2,9110
3813,9807,8805,"Scale factor at natural origin","0.9998335",3,9201
3813,9807,8806,"False easting","500000",4,9001
3813,9807,8807,"False northing","1300000",5,9001
3818,9807,8801,"Latitude of natural origin","0",1,9102
3818,9807,8802,"Longitude of natural origin","119",2,9102
3818,9807,8805,"Scale factor at natural origin","0.9999",3,9201
3818,9807,8806,"False easting","250000",4,9001
3818,9807,8807,"False northing","0",5,9001
3820,9807,8801,"Latitude of natural origin","0",1,9102
3820,9807,8802,"Longitude of natural origin","121",2,9102
3820,9807,8805,"Scale factor at natural origin","0.9999",3,9201
3820,9807,8806,"False easting","250000",4,9001
3820,9807,8807,"False northing","0",5,9001
3831,9804,8801,"Latitude of natural origin","0",1,9102
3831,9804,8802,"Longitude of natural origin","150",2,9102
3831,9804,8805,"Scale factor at natural origin","1",3,9201
3831,9804,8806,"False easting","0",4,9001
3831,9804,8807,"False northing","0",5,9001
3853,9807,8801,"Latitude of natural origin","0",1,9110
3853,9807,8802,"Longitude of natural origin","18.0328332",2,9110
3853,9807,8805,"Scale factor at natural origin","0.99999506",3,9201
3853,9807,8806,"False easting","100182.7406",4,9001
3853,9807,8807,"False northing","-6500620.1207",5,9001
3856,1024,8801,"Latitude of natural origin","0",1,9102
3856,1024,8802,"Longitude of natural origin","0",2,9102
3856,1024,8806,"False easting","0",3,9001
3856,1024,8807,"False northing","0",4,9001
3860,9807,8801,"Latitude of natural origin","0",1,9102
3860,9807,8802,"Longitude of natural origin","19",2,9102
3860,9807,8805,"Scale factor at natural origin","1",3,9201
3860,9807,8806,"False easting","19500000",4,9001
3860,9807,8807,"False northing","0",5,9001
3861,9807,8801,"Latitude of natural origin","0",1,9102
3861,9807,8802,"Longitude of natural origin","20",2,9102
3861,9807,8805,"Scale factor at natural origin","1",3,9201
3861,9807,8806,"False easting","20500000",4,9001
3861,9807,8807,"False northing","0",5,9001
3862,9807,8801,"Latitude of natural origin","0",1,9102
3862,9807,8802,"Longitude of natural origin","21",2,9102
3862,9807,8805,"Scale factor at natural origin","1",3,9201
3862,9807,8806,"False easting","21500000",4,9001
3862,9807,8807,"False northing","0",5,9001
3863,9807,8801,"Latitude of natural origin","0",1,9102
3863,9807,8802,"Longitude of natural origin","22",2,9102
3863,9807,8805,"Scale factor at natural origin","1",3,9201
3863,9807,8806,"False easting","22500000",4,9001
3863,9807,8807,"False northing","0",5,9001
3864,9807,8801,"Latitude of natural origin","0",1,9102
3864,9807,8802,"Longitude of natural origin","23",2,9102
3864,9807,8805,"Scale factor at natural origin","1",3,9201
3864,9807,8806,"False easting","23500000",4,9001
3864,9807,8807,"False northing","0",5,9001
3865,9807,8801,"Latitude of natural origin","0",1,9102
3865,9807,8802,"Longitude of natural origin","24",2,9102
3865,9807,8805,"Scale factor at natural origin","1",3,9201
3865,9807,8806,"False easting","24500000",4,9001
3865,9807,8807,"False northing","0",5,9001
3866,9807,8801,"Latitude of natural origin","0",1,9102
3866,9807,8802,"Longitude of natural origin","25",2,9102
3866,9807,8805,"Scale factor at natural origin","1",3,9201
3866,9807,8806,"False easting","25500000",4,9001
3866,9807,8807,"False northing","0",5,9001
3867,9807,8801,"Latitude of natural origin","0",1,9102
3867,9807,8802,"Longitude of natural origin","26",2,9102
3867,9807,8805,"Scale factor at natural origin","1",3,9201
3867,9807,8806,"False easting","26500000",4,9001
3867,9807,8807,"False northing","0",5,9001
3868,9807,8801,"Latitude of natural origin","0",1,9102
3868,9807,8802,"Longitude of natural origin","27",2,9102
3868,9807,8805,"Scale factor at natural origin","1",3,9201
3868,9807,8806,"False easting","27500000",4,9001
3868,9807,8807,"False northing","0",5,9001
3869,9807,8801,"Latitude of natural origin","0",1,9102
3869,9807,8802,"Longitude of natural origin","28",2,9102
3869,9807,8805,"Scale factor at natural origin","1",3,9201
3869,9807,8806,"False easting","28500000",4,9001
3869,9807,8807,"False northing","0",5,9001
3870,9807,8801,"Latitude of natural origin","0",1,9102
3870,9807,8802,"Longitude of natural origin","29",2,9102
