"coord_ref_sys_code","coord_ref_sys_name","coord_sys_code","base_crs_code","projection_conv_code"
2000,"Anguilla 1957 / British West Indies Grid",4400,4600,19942
2001,"Antigua 1943 / British West Indies Grid",4400,4601,19942
2002,"Dominica 1945 / British West Indies Grid",4400,4602,19942
2003,"Grenada 1953 / British West Indies Grid",4400,4603,19942
2004,"Montserrat 1958 / British West Indies Grid",4400,4604,19942
2005,"St. Kitts 1955 / British West Indies Grid",4400,4605,19942
2006,"St. Lucia 1955 / British West Indies Grid",4400,4606,19942
2007,"St. Vincent 45 / British West Indies Grid",4400,4607,19942
2009,"NAD27(CGQ77) / SCoPQ zone 3",4499,4609,17703
2010,"NAD27(CGQ77) / SCoPQ zone 4",4499,4609,17704
2011,"NAD27(CGQ77) / SCoPQ zone 5",4499,4609,17705
2012,"NAD27(CGQ77) / SCoPQ zone 6",4499,4609,17706
2013,"NAD27(CGQ77) / SCoPQ zone 7",4499,4609,17707
2014,"NAD27(CGQ77) / SCoPQ zone 8",4499,4609,17708
2015,"NAD27(CGQ77) / SCoPQ zone 9",4499,4609,17709
2016,"NAD27(CGQ77) / SCoPQ zone 10",4499,4609,17710
2017,"NAD27(76) / MTM zone 8",4499,4608,17708
2018,"NAD27(76) / MTM zone 9",4499,4608,17709
2019,"NAD27(76) / MTM zone 10",4499,4608,17710
2020,"NAD27(76) / MTM zone 11",4400,4608,17711
2021,"NAD27(76) / MTM zone 12",4400,4608,17712
2022,"NAD27(76) / MTM zone 13",4400,4608,17713
2023,"NAD27(76) / MTM zone 14",4400,4608,17714
2024,"NAD27(76) / MTM zone 15",4400,4608,17715
2025,"NAD27(76) / MTM zone 16",4400,4608,17716
2026,"NAD27(76) / MTM zone 17",4400,4608,17717
2027,"NAD27(76) / UTM zone 15N",4400,4608,16015
2028,"NAD27(76) / UTM zone 16N",4400,4608,16016
2029,"NAD27(76) / UTM zone 17N",4400,4608,16017
2030,"NAD27(76) / UTM zone 18N",4400,4608,16018
2031,"NAD27(CGQ77) / UTM zone 17N",4400,4609,16017
2032,"NAD27(CGQ77) / UTM zone 18N",4400,4609,16018
2033,"NAD27(CGQ77) / UTM zone 19N",4400,4609,16019
2034,"NAD27(CGQ77) / UTM zone 20N",4400,4609,16020
2035,"NAD27(CGQ77) / UTM zone 21N",4400,4609,16021
2039,"Israel 1993 / Israeli TM Grid",4400,4141,18204
2040,"Locodjo 1965 / UTM zone 30N",4400,4142,16030
2041,"Abidjan 1987 / UTM zone 30N",4400,4143,16030
2042,"Locodjo 1965 / UTM zone 29N",4400,4142,16029
2043,"Abidjan 1987 / UTM zone 29N",4400,4143,16029
2044,"Hanoi 1972 / Gauss-Kruger zone 18",4530,4147,16218
2045,"Hanoi 1972 / Gauss-Kruger zone 19",4530,4147,16219
2046,"Hartebeesthoek94 / Lo15",6503,4148,17515
2047,"Hartebeesthoek94 / Lo17",6503,4148,17517
2048,"Hartebeesthoek94 / Lo19",6503,4148,17519
2049,"Hartebeesthoek94 / Lo21",6503,4148,17521
2050,"Hartebeesthoek94 / Lo23",6503,4148,17523
2051,"Hartebeesthoek94 / Lo25",6503,4148,17525
2052,"Hartebeesthoek94 / Lo27",6503,4148,17527
2053,"Hartebeesthoek94 / Lo29",6503,4148,17529
2054,"Hartebeesthoek94 / Lo31",6503,4148,17531
2055,"Hartebeesthoek94 / Lo33",6503,4148,17533
2056,"CH1903+ / LV95",4400,4150,19950
2057,"Rassadiran / Nakhl e Taqi",4400,4153,19951
2058,"ED50(ED77) / UTM zone 38N",4400,4154,16038
2059,"ED50(ED77) / UTM zone 39N",4400,4154,16039
2060,"ED50(ED77) / UTM zone 40N",4400,4154,16040
2061,"ED50(ED77) / UTM zone 41N",4400,4154,16041
2062,"Madrid 1870 (Madrid) / Spain LCC",4499,4903,19921
2065,"S-JTSK (Ferro) / Krovak",6501,4818,19952
2066,"Mount Dillon / Tobago Grid",4407,4157,19924
2067,"Naparima 1955 / UTM zone 20N",4400,4158,16020
2068,"ELD79 / Libya zone 5",4499,4159,18240
2069,"ELD79 / Libya zone 6",4499,4159,18241
2070,"ELD79 / Libya zone 7",4499,4159,18242
2071,"ELD79 / Libya zone 8",4499,4159,18243
2072,"ELD79 / Libya zone 9",4499,4159,18244
2073,"ELD79 / Libya zone 10",4499,4159,18245
2074,"ELD79 / Libya zone 11",4499,4159,18246
2075,"ELD79 / Libya zone 12",4499,4159,18247
2076,"ELD79 / Libya zone 13",4499,4159,18248
2077,"ELD79 / UTM zone 32N",4400,4159,16032
2078,"ELD79 / UTM zone 33N",4400,4159,16033
2079,"ELD79 / UTM zone 34N",4400,4159,16034
2080,"ELD79 / UTM zone 35N",4400,4159,16035
2081,"Chos Malal 1914 / Argentina 2",4530,4160,18032
2082,"Pampa del Castillo / Argentina 2",4530,4161,18032
2083,"Hito XVIII 1963 / Argentina 2",4530,4254,18032
2084,"Hito XVIII 1963 / UTM zone 19S",4400,4254,16119
2087,"ELD79 / TM 12 NE",4400,4159,16412
2088,"Carthage / TM 11 NE",4400,4223,16411
2089,"Yemen NGN96 / UTM zone 38N",4400,4163,16038
2090,"Yemen NGN96 / UTM zone 39N",4400,4163,16039
2093,"Hanoi 1972 / GK 106 NE",4530,4147,16586
2094,"WGS 72BE / TM 106 NE",4400,4324,16506
2095,"Bissau / UTM zone 28N",4400,4165,16028
2096,"Korean 1985 / East Belt",4530,4162,18251
2097,"Korean 1985 / Central Belt",4530,4162,18252
2098,"Korean 1985 / West Belt",4530,4162,18253
2099,"Qatar 1948 / Qatar Grid",4400,4286,19953
2100,"GGRS87 / Greek Grid",4400,4121,19930
2101,"Lake / Maracaibo Grid M1",4499,4249,18260
2102,"Lake / Maracaibo Grid",4499,4249,18261
2103,"Lake / Maracaibo Grid M3",4499,4249,18262
2104,"Lake / Maracaibo La Rosa Grid",4499,4249,18263
2105,"NZGD2000 / Mount Eden 2000",4500,4167,17931
2106,"NZGD2000 / Bay of Plenty 2000",4500,4167,17932
2107,"NZGD2000 / Poverty Bay 2000",4500,4167,17933
2108,"NZGD2000 / Hawkes Bay 2000",4500,4167,17934
2109,"NZGD2000 / Taranaki 2000",4500,4167,17935
2110,"NZGD2000 / Tuhirangi 2000",4500,4167,17936
2111,"NZGD2000 / Wanganui 2000",4500,4167,17937
2112,"NZGD2000 / Wairarapa 2000",4500,4167,17938
2113,"NZGD2000 / Wellington 2000",4500,4167,17939
2114,"NZGD2000 / Collingwood 2000",4500,4167,17940
2115,"NZGD2000 / Nelson 2000",4500,4167,17941
2116,"NZGD2000 / Karamea 2000",4500,4167,17942
2117,"NZGD2000 / Buller 2000",4500,4167,17943
2118,"NZGD2000 / Grey 2000",4500,4167,17944
2119,"NZGD2000 / Amuri 2000",4500,4167,17945
2120,"NZGD2000 / Marlborough 2000",4500,4167,17946
2121,"NZGD2000 / Hokitika 2000",4500,4167,17947
2122,"NZGD2000 / Okarito 2000",4500,4167,17948
2123,"NZGD2000 / Jacksons Bay 2000",4500,4167,17949
2124,"NZGD2000 / Mount Pleasant 2000",4500,4167,17950
2125,"NZGD2000 / Gawler 2000",4500,4167,17951
2126,"NZGD2000 / Timaru 2000",4500,4167,17952
2127,"NZGD2000 / Lindis Peak 2000",4500,4167,17953
2128,"NZGD2000 / Mount Nicholas 2000",4500,4167,17954
2129,"NZGD2000 / Mount York 2000",4500,4167,17955
2130,"NZGD2000 / Observation Point 2000",4500,4167,17956
2131,"NZGD2000 / North Taieri 2000",4500,4167,17957
2132,"NZGD2000 / Bluff 2000",4500,4167,17958
2133,"NZGD2000 / UTM zone 58S",4400,4167,16158
2134,"NZGD2000 / UTM zone 59S",4400,4167,16159
2135,"NZGD2000 / UTM zone 60S",4400,4167,16160
2136,"Accra / Ghana National Grid",4404,4168,19959
2137,"Accra / TM 1 NW",4400,4168,17001
2138,"NAD27(CGQ77) / Quebec Lambert",4499,4609,19944
2154,"RGF93 v1 / Lambert-93",4499,4171,18085
2157,"IRENET95 / Irish Transverse Mercator",4400,4173,19962
2158,"IRENET95 / UTM zone 29N",4400,4173,16029
2159,"Sierra Leone 1924 / New Colony Grid",4404,4174,19963
2160,"Sierra Leone 1924 / New War Office Grid",4404,4174,19964
2161,"Sierra Leone 1968 / UTM zone 28N",4400,4175,16028
2162,"Sierra Leone 1968 / UTM zone 29N",4400,4175,16029
2164,"Locodjo 1965 / TM 5 NW",4400,4142,17005
2165,"Abidjan 1987 / TM 5 NW",4400,4143,17005
2169,"LUREF / Luxembourg TM",4530,4181,19966
2172,"Pulkovo 1942(58) / Poland zone II",4530,4179,18282
2173,"Pulkovo 1942(58) / Poland zone III",4530,4179,18283
