"coord_ref_sys_code","coord_ref_sys_name","coord_sys_code","datum_code","base_crs_code","projection_conv_code"
5711,"AHD height",6499,5111,NULL,NULL
5712,"AHD (Tasmania) height",6499,5112,NULL,NULL
5734,"AIOC95 depth",6498,NULL,5797,7812
5775,"Antalya height",6499,5173,NULL,NULL
5782,"Alicante height",6499,5180,NULL,NULL
5797,"AIOC95 height",6499,5133,NULL,NULL
10353,"Alboran height",6499,1363,NULL,NULL
5612,"Baltic 1977 depth",6498,NULL,5705,7812
5705,"Baltic 1977 height",6499,5105,NULL,NULL
5752,"Bandar Abbas height",6499,5150,NULL,NULL
5759,"Auckland 1946 height",6499,5157,NULL,NULL
5786,"Baltic 1982 height",6499,5184,NULL,NULL
6643,"ASVD02 height",6499,1125,NULL,NULL
8357,"Baltic 1957 height",6499,1202,NULL,NULL
8358,"Baltic 1957 depth",6498,NULL,8357,7812
9458,"AVWS height",6499,1292,NULL,NULL
9650,"Baltic 1986 height",6499,1296,NULL,NULL
5732,"Belfast height",6499,5131,NULL,NULL
9669,"BGS2005 height",6499,1300,NULL,NULL
5336,"Black Sea depth",6498,NULL,5735,7812
5607,"Bora Bora SAU 2001 height",6499,5202,NULL,NULL
5611,"Caspian height",6499,5106,NULL,NULL
5706,"Caspian depth",6498,NULL,5611,7812
5735,"Black Sea height",6499,5134,NULL,NULL
5760,"Bluff 1955 height",6499,5158,NULL,NULL
5780,"Cascais height",6499,5178,NULL,NULL
6132,"CBVD61 height (ft)",1030,1099,NULL,NULL
6178,"Cais da Pontinha height",6499,1101,NULL,NULL
6179,"Cais da Vila height",6499,1102,NULL,NULL
6180,"Cais das Velas height",6499,1103,NULL,NULL
6182,"Cais da Madalena height",6499,1105,NULL,NULL
6184,"Cais da Figueirinha height",6499,1107,NULL,NULL
6186,"Cais da Vila do Porto height",6499,1109,NULL,NULL
9402,"Ceuta 2 height",6499,1285,NULL,NULL
9451,"BI height",6499,1288,NULL,NULL
9672,"CD Norway depth",6498,1301,NULL,NULL
9721,"Catania 1965 height",6499,1306,NULL,NULL
